%%% GEARHEAD I18N TEXT MESSAGES %%%

% gharena.pas
GHARENA.PAS_START_RPG_CAMPAIGN    <Start RPG Campaign>
GHARENA.PAS_LOAD_RPG_CAMPAIGN     <Load RPG Campaign>
GHARENA.PAS_NEW_ARENA_UNIT        <New Arena Unit>
GHARENA.PAS_LOAD_ARENA_UNIT       <Load Arena Unit>
GHARENA.PAS_CREATE_CHARACTER      <Create Character>
GHARENA.PAS_EDIT_MAP              <Edit Map>
GHARENA.PAS_VIEW_DESIGN_FILES     <View Design Files>
GHARENA.PAS_QUIT_GAME             <Quit Game>


% ui4gh.pp
ui4gh_ControlTypeName_Menu      <Menu>
ui4gh_ControlTypeName_Roguelike <Roguelike>
ui4gh_BVTypeName1               <Off>
ui4gh_BVTypeName2               <1/4>
ui4gh_BVTypeName3               <1/2>
ui4gh_BVTypeName4               <Max>


% ability.pp PilotName()
PILOTNAME_NOTHING               <Nothing>

% aibrain.pp AIRepair()
%	#1 : GearName(NPC)
%	#2 : GearName(Target)
NPCREPAIR_UseSkill              <#1 tends to #2.>
%
% aibrain.pp NPC_Flirtation()
%	#1 : PilotName(NPC)
%	#2 : PilotName(Target)
NPCFLIRT_Good                   <#1 is having a good time with #2.>
NPCFLIRT_Okay                   <#1 goes to see #2.>
NPCFLIRT_Bad                    <#2 asks #1 to go away.>
%
% aibrain.pp NPC_Chatting()
%	#1 : PilotName(NPC)
%	#2 : PilotName(Target)
NPCCHAT_OKAY                    <#1 chats with #2.>

% arenacfe.pp StatusEffectCheck()
%	#1 : PilotName(ATTACK_TMaster)
%	#2 : BStr ATTACK_DamageDone)
StatusEffectCheck_Status_FXDesc1        <#1 is hurt by poison! #2 damage.>
StatusEffectCheck_Status_FXDesc2        <#1 is on fire! #2 damage.>

% arenahq.pp PurchaseGear()
%	#1 : GearName()
%	#2 : Cost
PURCHASEGEAR_BUY                <Buy #1 ($#2)>
PURCHASEGEAR_SEARCH_AGAIN       <Search Again>
%	# : GearName()
PURCHASEGEAR_PURCHASED          <You have purchased #.>
%	# : GearName()
PURCHASEGEAR_DONOT_PURCHASED    <You don't have enough money to buy #.>
%
