%%% GEARHEAD I18N NAME TABLE %%%

% ghchars.pp StatName[]
STATNAME_REFLEXES               <Reflexes>
STATNAME_BODY                   <Body>
STATNAME_SPEED                  <Speed>
STATNAME_PERCEPTION             <Perception>
STATNAME_CRAFT                  <Craft>
STATNAME_EGO                    <Ego>
STATNAME_KNOWLEDGE              <Knowledge>
STATNAME_CHARM                  <Charm>

% ghchars.pp GenderName[]
GENDERNAME_MALE                 <Male>
GENDERNAME_FEMALE               <Female>

% ghchars.pp PTraitName[]
PTRAITNAME_HEROIC               <Heroic>
PTRAITNAME_VILLAINOUS           <Villainous>
PTRAITNAME_LAWFUL               <Lawful>
PTRAITNAME_CHAOTIC              <Chaotic>
PTRAITNAME_SOCIABLE             <Sociable>
PTRAITNAME_SHY                  <Shy>
PTRAITNAME_EASYGOING            <Easygoing>
PTRAITNAME_PASSIONATE           <Passionate>
PTRAITNAME_CHEERFUL             <Cheerful>
PTRAITNAME_MELANCHOLY           <Melancholy>
PTRAITNAME_RENOWNED             <Renowned>
PTRAITNAME_WANGTTA              <Wangtta>
PTRAITNAME_PRAGMATIC            <Pragmatic>
PTRAITNAME_SPIRITUAL            <Spiritual>

% ghchars.pp SkillMan[].name
SKILLMAN_UNKNOWN_SKILL          <Unknown Skill>
SKILLMAN_MECHA_GUNNERY          <Mecha Gunnery>
SKILLMAN_MECHA_ARTILLERY        <Mecha Artillery>
SKILLMAN_MECHA_WEAPONS          <Mecha Weapons>
SKILLMAN_MECHA_FIGHTING         <Mecha Fighting>
SKILLMAN_MECHA_PILOTING         <Mecha Piloting>
SKILLMAN_SMALL_ARMS             <Small Arms>
SKILLMAN_HEAVY_WEAPONS          <Heavy Weapons>
SKILLMAN_ARMED_COMBAT           <Armed Combat>
SKILLMAN_MARTIAL_ARTS           <Martial Arts>
SKILLMAN_DODGE                  <Dodge>
SKILLMAN_AWARENESS              <Awareness>
SKILLMAN_INITIATIVE             <Initiative>
SKILLMAN_VITALITY               <Vitality>
SKILLMAN_SURVIVAL               <Survival>
SKILLMAN_MECHA_REPAIR           <Mecha Repair>
SKILLMAN_MEDICINE               <Medicine>
SKILLMAN_ELECTRONIC_WARFARE     <Electronic Warfare>
SKILLMAN_SPOT_WEAKNESS          <Spot Weakness>
SKILLMAN_CONVERSATION           <Conversation>
SKILLMAN_FIRST_AID              <First Aid>
SKILLMAN_SHOPPING               <Shopping>
SKILLMAN_BIO_TECHNOLOGY         <Bio Technology>
SKILLMAN_GENERAL_REPAIR         <General Repair>
SKILLMAN_CYBERTECH              <Cybertech>
SKILLMAN_STEALTH                <Stealth>
SKILLMAN_ATHLETICS              <Athletics>
SKILLMAN_FLIRTATION             <Flirtation>
SKILLMAN_INTIMIDATION           <Intimidation>
SKILLMAN_SCIENCE                <Science>
SKILLMAN_CONCENTRATION          <Concentration>
SKILLMAN_MECHA_ENGINEERING      <Mecha Engineering>
SKILLMAN_CODE_BREAKING          <Code Breaking>
SKILLMAN_WEIGHT_LIFTING         <Weight Lifting>
SKILLMAN_MYSTICISM              <Mysticism>
SKILLMAN_PERFORMANCE            <Performance>
SKILLMAN_RESISTANCE             <Resistance>
SKILLMAN_INVESTIGATION          <Investigation>
SKILLMAN_ROBOTICS               <Robotics>
SKILLMAN_LEADERSHIP             <Leadership>
SKILLMAN_DOMINATE_ANIMAL        <Dominate Animal>
SKILLMAN_PICK_POCKETS           <Pick Pockets>

% Series/RCJobs.txt
%			Player Jobs
JOBS_                           <Another job>
JOBS_ARCHITECT                  <Architect>
JOBS_FIREFIGHTER                <Firefighter>
JOBS_CONSTRUCTION_WORKER        <Construction worker>
JOBS_JOURNALIST                 <Journalist>
JOBS_BANKER                     <Banker>
JOBS_LAWYER                     <Lawyer>
JOBS_POLITICIAN                 <Politician>
JOBS_EXPLORER                   <Explorer>
JOBS_BOUNTY_HUNTER              <Bounty hunter>
JOBS_MERCENARY                  <Mercenary>
JOBS_CYBERDOC                   <Cyberdoc>
JOBS_GUARDIAN                   <Guardian>
JOBS_BANDIT                     <Bandit>
JOBS_RAVAGER                    <Ravager>
JOBS_PIRATE                     <Pirate>
JOBS_THIEF                      <Thief>
JOBS_MARTIAL_ARTIST             <Martial artist>
JOBS_MONK                       <Monk>
JOBS_CORPORATE_EXECUTIVE        <Corporate executive>
JOBS_CORPORATE_PILOT            <Corporate pilot>
JOBS_CELEBRITY                  <Celebrity>
JOBS_MECHANIC                   <Mechanic>
JOBS_SHOPKEEPER                 <Shopkeeper>
JOBS_COMBAT_PILOT               <Combat pilot>
JOBS_ARENA_PILOT                <Arena pilot>
JOBS_RECON_PILOT                <Recon pilot>
JOBS_PARAMEDIC                  <Paramedic>
JOBS_COMMERCIAL_PILOT           <Commercial pilot>
JOBS_ATHLETE                    <Athlete>
JOBS_SOLDIER                    <Soldier>
JOBS_NINJA                      <Ninja>
JOBS_DOCTOR                     <Doctor>
JOBS_NURSE                      <Nurse>
JOBS_TEST_PILOT                 <Test pilot>
JOBS_TRUCKER                    <Trucker>
JOBS_SCIENTIST                  <Scientist>
JOBS_PROFESSOR                  <Professor>
JOBS_MECHA_DESIGNER             <Mecha designer>
JOBS_ENGINEER                   <Engineer>
JOBS_ACTOR                      <Actor>
JOBS_TEACHER                    <Teacher>
JOBS_COMPUTER_PROGRAMMER        <Computer programmer>
JOBS_HACKER                     <Hacker>
%			NPC Jobs
JOBS_ACE_PILOT                  <Ace Pilot>
JOBS_AMBASSADOR                 <Ambassador>
JOBS_ANIMAL                     <Animal>
JOBS_ARCHAEOLOGIST              <Archaeologist>
JOBS_ARENA_MANAGER              <Arena Manager>
JOBS_ARTIST                     <Artist>
JOBS_BARTENDER                  <Bartender>
JOBS_COOK                       <Cook>
JOBS_CAMPUS_SECURITY            <Campus Security>
JOBS_CHIEFTAN                   <Chieftan>
JOBS_CITIZEN                    <Citizen>
JOBS_CORPORATE_PRESIDENT        <Corporate President>
JOBS_CURATOR                    <Curator>
JOBS_CYCLOPS_EXPLORER           <Cyclops Explorer>
JOBS_CYCLOPS_GUARD              <Cyclops Guard>
JOBS_CYCLOPS_PROTECTOR          <Cyclops Protector>
JOBS_DEALER                     <Dealer>
JOBS_ELDER                      <Elder>
JOBS_EXECUTIVE_ASSISTANT        <Executive Assistant>
JOBS_FARMER                     <Farmer>
JOBS_FISHERMAN                  <Fisherman>
JOBS_GARU                       <GARU>
JOBS_GANGER                     <Ganger>
JOBS_GRAD_STUDENT               <Grad Student>
JOBS_GUARDIAN_CHIEF             <Guardian Chief>
JOBS_GUARDIAN_COMMANDER         <Guardian Commander>
JOBS_GUILDMASTER                <Guildmaster>
JOBS_HARVESTER                  <Harvester>
JOBS_HERBALIST                  <Herbalist>
JOBS_HERMIT                     <Hermit>
JOBS_HOSTESS                    <Hostess>
JOBS_KEEPER_OF_THE_LAW          <keeper of the law>
JOBS_LEADER                     <Leader>
JOBS_MECHA_PILOT                <Mecha Pilot>
JOBS_MANAGER                    <Manager>
JOBS_MONK_LEADER                <Monk Leader>
JOBS_MONK_LIBRARIAN             <Monk Librarian>
JOBS_PRIEST                     <Priest>
JOBS_PRESIDENT                  <President>
JOBS_PRINCESS                   <Princess>
JOBS_ROBOT                      <Robot>
JOBS_REFORMED_PIRATE            <Reformed Pirate>
JOBS_SECURITY_GUARD             <Security Guard>
JOBS_SHAMAN                     <Shaman>
JOBS_SISTER                     <Sister>
JOBS_SLAVE_TRADER               <Slave Trader>
JOBS_STUDENT                    <Student>
JOBS_TALENT_AGENT               <Talent Agent>
JOBS_TANTRIC_MECHANIC           <Tantric Mechanic>
JOBS_TICKET_VENDOR              <Ticket Vendor>
JOBS_TRAPPER                    <Trapper>
JOBS_TRUCK_DISPATCHER           <Truck Dispatcher>
JOBS_VILLAGER                   <Villager>
JOBS_WARLORD                    <Warlord>
JOBS_WARRIOR_MONK               <Warrior Monk>
JOBS_WARRIOR                    <Warrior>

% locale.pp TerrMan[].name
TerrMan_Open_Ground             <Open Ground>
TerrMan_Light_Forest            <Light Forest>
TerrMan_Heavy_Forest            <Heavy Forest>
TerrMan_Water                   <Water>
TerrMan_Rubble                  <Rubble>
TerrMan_Pavement                <Pavement>
TerrMan_Swamp                   <Swamp>
TerrMan_Hill                    <Hill>
TerrMan_Rough_Ground            <Rough Ground>
TerrMan_Low_Wall                <Low Wall>
TerrMan_Residential_Wall        <Residential Wall>
TerrMan_Stone_Floor             <Stone Floor>
TerrMan_Stone_Wall              <Stone Wall>
TerrMan_Floor                   <Floor>
TerrMan_Dirt                    <Dirt>
TerrMan_Hospital_Wall           <Hospital Wall>
TerrMan_Threshold               <Threshold>
TerrMan_Blue_Carpet             <Blue Carpet>
TerrMan_Deep_Water              <Deep Water>
TerrMan_Very_Deep_Water         <Very Deep Water>
TerrMan_Wall                    <Wall>
TerrMan_Gold_Wall               <Gold Wall>
TerrMan_Red_Carpet              <Red Carpet>
TerrMan_Wooden_Floor            <Wooden Floor>
TerrMan_Wooden_Wall             <Wooden Wall>
TerrMan_Tile_Floor              <Tile Floor>
TerrMan_Steel_Wall              <Steel Wall>
TerrMan_Marble_Floor            <Marble Floor>
TerrMan_Earth_Wall              <Earth Wall>
TerrMan_Commercial_Wall         <Commercial Wall>
TerrMan_Fortress_Wall           <Fortress Wall>
TerrMan_Stainless_Steel_Wall    <Stainless Steel Wall>
TerrMan_Industrial_Wall         <Industrial Wall>
TerrMan_Neon_Wall               <Neon Wall>
TerrMan_Restaurant_Wall         <Restaurant Wall>
TerrMan_Garage_Wall             <Garage Wall>
TerrMan_Sand                    <Sand>
TerrMan_Wreckage                <Wreckage>
TerrMan_Organic_Floor           <Organic Floor>
TerrMan_Organic_Wall            <Organic Wall>

% movement.pp MoveModeName[]
MoveModeName_Walk               <Walk>
MoveModeName_Roll               <Roll>
MoveModeName_Skim               <Skim>
MoveModeName_Fly                <Fly>
% movement.pp MoveActionName[]
MoveActionName_Stop             <Stop>
MoveActionName_Cruise_Speed     <Cruise Speed>
MoveActionName_Full_Speed       <Full Speed>
MoveActionName_Turn_Left        <Trun Left>
MoveActionName_Turn_Right       <Turn Right>
MoveActionName_Reverse          <Reverse>



% GearName()
_Body                           <Body>
_Head                           <Head>
