% GHParser quickparts list - use spaces not tabs please
Gear          <G ? ? ?>
Stat          <S ? ?>
Battroid      <G 0 0 ?5>
Zoanoid       <G 0 1 ?5>
GroundHugger  <G 0 2 ?5>
Arachnoid     <G 0 3 ?5>
AeroFighter   <G 0 4 ?5>
Ornithoid     <G 0 5 ?5>
Gerwalk       <G 0 6 ?5>
HoverFighter  <G 0 7 ?5>
GroundCar     <G 0 8 ?5>
Mecha         <G 0 ?0 ?5>
Chara         <G 2 0 0>
Sensor        <G 8 1 ?5>
TarComp       <G 8 2 ?1>
ECM           <G 8 3 ?1>
PCS           <G 14 1 ?3>
CPit          <Gear 3 0 0>
Melee         <Gear 4 0 ?3>
EMelee        <Gear 4 1 ?3>
Gun           <Gear 4 2 ?3>
BeamGun       <Gear 4 3 ?3>
MLauncher     <Gear 4 4 ?3>
Ammo          <Gear 5 2 ?3>
Rockets       <Gear 5 4 ?3>
Grenade       <Gear 5 5 ?10>
Range         <Stat 1 ?>
Acc           <Stat 2 ?>
Recharge      <Stat 3 ?>
BV            <Stat 4 ?>
Magazine      <Stat 8 ?>
AmmoCount     <Stat 7 ?>
Hand          <Gear 7 0 0>
Mount         <Gear 7 1 0>
Wheels        <Gear 6 1 ?3>
Tracks        <Gear 6 2 ?3>
HoverJet      <Gear 6 3 ?3>
Flight        <Gear 6 4 ?3>
ArcJet        <Gear 6 5 ?3>
Overcharger   <Gear 6 6 ?3>
SpaceFlight   <Gear 6 7 ?3>
HeavyActuator <Gear 6 8 ?3>
Armor         <Stat 1 ?0>
HighTier      <Stat 3 1>
MidTier       <Stat 3 2>
LowTier       <Stat 3 3>
Shield        <Gear 10 0 ?2>
EShield       <Gear 10 1 ?2>
StatModifier  <Gear 19 1 ?40>
SkillModifier <Gear 19 2 ?40>
DefBonus      <Stat 1 ?-1>
BodyArmor     <Gear 11 1 ?1>  These cmds create external armor gears
HeadArmor     <Gear 11 2 ?1>
ArmArmor      <Gear 11 3 ?1>
LegArmor      <Gear 11 4 ?1>
WingArmor     <Gear 11 5 ?1>
TailArmor     <Gear 11 6 ?1>
TurretArmor   <Gear 11 7 ?1>
StorageArmor  <Gear 11 8 ?1>
Gyro          <Gear 9 1 ?1>   Gyro automatically added by LoadGear
Engine        <Gear 9 2 ?5>   Engine automatically added by LoadGear
HighOutput    <STAT 2 1>       - High-output engine
Treasure      <Gear 12 2 ?25>
BigTreasure   <Gear 12 5 ?25>
PuzzleItem    <Gear 12 0 ?25>
FirstAidFuel  <Gear 17 20 ?100>
MechaRepairFuel <Gear 17 15 ?1000>
MediceneFuel  <Gear 17 16 ?100>
BiotechFuel   <Gear 17 22 ?1000>
