plot 1
	% The player will be offered a bounty for an escaped murderer.
	name <PLOT: GuardFight2>

	% VARIABLES USED
	% 1 -> Time Limit Timer
	% 2 -> Combat Indicator

	element1 <Character Guardian Heroic>
	% Element 2 = Difficulcy Level

	rumor <!1 is conducting a murder investigation.>

	% Time limit - this plot will fade after a short time.
	START <if= V1 0 else GotoCheckTime V= 1 ComTime V+ 1 15500>
	GotoCheckTime <ifG ComTime V1 if= V2 0 AdvancePlot 0>

	% If combat has been entered, V2 = 1. This is important to keep
	% the events below from activating in scenes other than the
	% plot's combat...
	NU1 <if= T1 0 if= V2 1 AdvancePlot 1 LoseRenown          V= 2 2>
	NU2 <if= T2 0 if= V2 1 AdvancePlot 2 XPV 50 Reputation 6 1    V= 2 2>

sub

	Persona 1
	greeting <NewChat ifG E2 0 else GoFirstTime Say 19 AddChat 7 AddChat 8 AddChat 9>

	GoFirstTime <ifG React 50 else GoMedReact ifG PCRep 1 25 else GoNotHeroic Say 1 AddChat 1 AddChat 2>
	GoNotHeroic <ifG PCRep 2 32 else GoNotLawful Say 2 AddChat 1 AddChat 2>
	GoNotLawful <Say 3 AddChat 1 AddChat 2>

	GoMedReact <ifG React 10 else GoLowReact ifG PCRep 6 25 else GoMed2 ifG PCRep 1 15 else GoMed2 Say 5 AddChat 1 AddChat 3>
	GoMed2 <ifG PCRep 1 25 else GoMed3 ifG 0 PCRep 6 else GoMed3 Say 8 AddChat 1 AddChat 2>
	GoMed3 <ifG PCRep 1 0 else GoMed4 Say 9 AddChat 4 AddChat 5>
	GoMed4 <Say 14 AddChat 5 AddChat 6>

	GoLowReact <ifG PCRep 1 30 else GoLow2 ifG PCRep 2 30 else GoLow2 Say 7 AddChat 1 AddChat 2>
	GoLow2 <Say 15 EndChat>

	result1 <ifG PCRep 6 95 else GoLvl24 ifG -75 PCRep 5 else GoLvl24 Say 125 V= 1 15000 E= 2 25 Goto GoChoose>
	GoLvl24 <ifG PCRep 6 90 else GoLvl23 ifG PCRep 7 75  else GoLvl23 Say 124 V= 1 13000 E= 2 24 Goto GoChoose>
	GoLvl23 <ifG PCRep 6 87 else GoLvl22 ifG PCRep 1 95  else GoLvl22 Say 123 V= 1 12000 E= 2 23 Goto GoChoose>
	GoLvl22 <ifG PCRep 6 83 else GoLvl21 ifG -65 PCRep 5 else GoLvl21 Say 122 V= 1 10000 E= 2 22 Goto GoChoose>
	GoLvl21 <ifG PCRep 6 80 else GoLvl20 ifG PCRep 7 80  else GoLvl20 Say 121 V= 1  9500 E= 2 21 Goto GoChoose>
