Plot 0
	name <You will join me on the dark side>
	% Edited to v0.901 standard

	% The PC will discover (*SHOCK!*) that his father used to
	% work for [insert evil faction], as does [enemy], and
	% now he must either join them or die! Or fight them off
	% and move on with his life...

	% **********************
	% *** ELEMENTS BLOCK ***
	% **********************

	% E1 is the scene where the combat will take place.
	element1 <Grab 3>

	element2 <Grab 1>

	% E3 is the next scene
	element3 <Scene !Far 1 Town Target>

	% E4 is the enemy faction, if N2 isn't valid.
	element4 <Faction GoodEnemy>

	% ********************
	% *** SCRIPT BLOCK ***
	% ********************
	%  V1 = Initialization Counter
	%  V2 = Combat Indicator
	%  V3 = Conversation Indicator
	%  V4 = Email Indicator

	% On a cleanup request, delete this plot unless combat has been
	% entered.
	cleanup <if= V2 0 AdvancePlot 0>

	start <ifPersona E2 else GoDelete if= V1 0 else GoCheckC2 V= 1 1 Compose EWM E1 .entrycombat ifFaction N2 else GoReplaceFaction>
	GoReplaceFaction <N= 2 E4>
	GoCheckC2 <ifG V2 1 else GoCheckC1 ForceChat E2>
	GoCheckC1 <if= V2 1 if= V3 0 V= 3 1 ForceChat E2>
	GoDelete <S= 101 1   XREnemy NAV_XREUnknown   AdvancePlot 0>
	.entrycombat <Block Print 101 SavePos Dynamic 2 Threat S103 150 .nu1 .nu2 V= 2 1 PassVar 1 E1>
	.nu1 <if= T1 0 Return>
	.nu2 <if= T2 0 Exit L1 SeekGate 1>

	% Combat check. If combat has been entered, V2=1.
	% Combat ends in victory if the number of active masters on
	% team two drops to zero, or ends in defeat is the number of
	% active masters on team one drops to zero. After combat, V2=3
	% if the player was victorious or V2=2 is the player lost.
	nu1 <if= T1 0 if= V2 1  V= 2 2  Reputation 6 -3  N= 3 E3  S= 101 1 S= 105 -1>
	nu2 <if= T2 0 if= V2 1  V= 2 3  Reputation 6 1 XPV 100 N= 3 E3 S= 101 1 S+ 102 1 S= 105 1>

	% Email check - every 5 minutes, check for an email.
	% The NPC might send an email and he might not, so it's very
	% unlikely each 5MIN that the email will be sent... Chances
	% are 1 in 1200, meaning it should be sent once in 4 days.
	5MIN <if= V2 0 ifG V1 0 if= V4 0 if= d1200 23 EMail 1 V= 4 1>

	Msg1 <\ELEMENT 2 @???:// I have something to show you in \ELEMENT 1 . Meet me near town, if you aren't afraid to learn.>
	Msg1_1 <\ELEMENT 2 @???:// I will be waiting for you in \ELEMENT 1 . Surely you aren't too afraid to meet me.>
	Msg1_2 <\ELEMENT 2 @???:// I grow impatient. Come to \ELEMENT 1 and we can settle matters between us.>

	Msg101 <As you approach \ELEMENT 1 , you are attacked by mecha!>

sub
	Persona 2
	% The PC's enemy, who will frame the meeting.
	greeting <EndChat if= P2 3 else GoCheckLoss Say 201 History 202 XRBadThing NAV_XRBExMember AdvancePlot 0 AddChat 201 AddChat 202 AddChat 203>
	result201 <EndChat Reputation 3 d4  Say 203>
	result202 <EndChat Say 204>
	result203 <EndChat Reputation 4 -d8 Say 205>

	Msg201 <You're much better than I expected. We could use you in \ELEMENT 3 . You may even be as good as your father. He used to be one of our agents, until that one time... There was no way we could let him survive, you understand.>
	Msg201_1 <I see shades of your father in your fighting style. He used to work for us, you realize... one of our better agents, until his conscience got the better of him. We could use your talents in \ELEMENT 3 .>
	CMsg201_1 <ifNPCSociable Accept>
	Msg201_2 <So you're nearly as good as your father. He was one of our agents, until he had to eliminate him. Maybe you will join us as well. We could use your talents in \ELEMENT 3 .>
	CMsg201_2 <ifNPCShy Accept>
	Msg201_3 <Aha, I knew that you'd be as capable as your father before you. Did I mention? Before he outlived his usefulness he was an agent of ours. You may be too, if you can pass the next test in \ELEMENT 3 .>
	CMsg201_3 <ifNPCCheerful Accept>
	Msg201_4 <So, you're as efficient and ruthless a killer as your father before you. This is excellent. It fits so perfectly into our plan for \ELEMENT 3 ... and like your father, you too will work for us.>
	CMsg201_4 <ifNPCMelancholy Accept>
	Msg201_5 <Ah, you've earned the right to hear the big secret: Your father used to work for \NARRATIVE 2 . Like him, you've proven yourself to be a great pilot. This fits well into our plans for \ELEMENT 3 .>
	CMsg201_5 <ifNPCEasygoing Accept>
	Msg201_6 <Impressive. Your father would have been pleased with the results. Did I mention that he used to be one of us? Of course, once the masters could no longer trust him, he had to be eliminated. You are ready for the next test in \ELEMENT 3 .>
	CMsg201_6 <ifNPCPassionate Accept>

	Msg202 <\ELEMENT 2 said your father once worked for \NARRATIVE 2 .>
	Msg203 <As I said, he was one of our best operatives. Very good at keeping secrets. The command thinks you might be an adequate replacement for him. In time, you may be given a choice... Join us, or die like your parents.>
	Msg203_1 <Don't deny what must now seem obvious. Your father was a good agent... very good at keeping secrets. It is believed that you might replace him. I certainly hope that you'll join of your own free will, but there are other ways as well.>
	CMsg203_1 <ifNPCSociable Accept>
	Msg203_2 <Believe what you will, only know that \NARRATIVE 2 is considering you for a replacement.>
	CMsg203_2 <ifNPCShy Accept>
	Msg203_3 <You'll be much happier if you simply accept the truth... and join us on the winning side of history. But I can see that you need more persuasion. Have no fears, you will come to serve us in the end...>
	CMsg203_3 <ifNPCCheerful Accept>
	Msg203_4 <The truth must sting horribly. I leave you now with this one additional fact: \NARRATIVE 2 wants you on our side. Whether you come of your own free will or through other methods is of little concern. In the end, you will serve us...>
