Plot 0
	name <School Pals>
	% Edited to v0.901 standard

	% Turns out the PC went to school with his enemy. Will meet an
	% old classmate (the lost love?) who will ask the PC to go speak
	% with the enemy. Just outside the town of the last meeting the
	% PC will be attacked by his enemy, who will explain that <FACTION>
	% has supplied him with GARU serum and training.

	% Mostly this is a social episode with a fight scene in the middle.

	% E1 is the scene where the old school chum (possible lover) is.
	% E2 is that character.
	% E3 is the scene where N1 is hiding.
	% E4 is N1 himself.
	% E5 is the scene for the next episode.
	% E6 is a replacement faction, in case the story doesn't yet have one.
	Element1 <Grab 3>
	Element2 <Prefab>
	Element3 <Scene Town Target !Far 1>
	Element4 <Grab 1>
	Element5 <Scene Town Target !Far 1 !Far 3>
	Element6 <Faction GoodEnemy>

	% P1 = Initialization Counter
	% P2 = Combat Indicator
	% P3 = Start-the-fight-upon-entering-E3 indicator
	%      if P3=1, PC will fight E4 at E3
	% P4 = Have convinced E4 to change his ways

	% At startup, do initialization.
	% Also check to make sure E2 is alive and well, since otherwise there
	% will be problems.
	start <ifPersona E2 else GoDelete if= P1 0 P= 1 1 FreezeChar E6 MoveChar E2 E1 AddNPCReact E2 50 NPCLevel E2 S103 EMail 1 Goto GoSetTriggers>
	GoSetTriggers <Compose EWM E3 .ewm ifFaction N2 else GoReplaceFaction E= 6 N2>
	GoReplaceFaction <N= 2 E6>
	GoDelete <S= 101 1 N= 3 E3 AdvancePlot 0>

	% if PC has spoken to E2, the next time he tries to enter E3 he'll be attacked by E4.
	% Got all that? Good. Include a START label in the dynamic scene so that when the fight
	% begins the PC will speak with E4.
	.ewm <if= P3 1 BLOCK Alert 2 XREnemy NAV_XREFaction Goto GoStartCombat>
	GoStartCombat <Dynamic 2 Threat S103 200 .nu1 .nu2 PassVar 1 E3 PassVar 2 E4 P= 2 1 ComposeD START .estart>
	.estart <if= V3 0 V= 3 1 ForceChat V2>
	.nu1 <if= T1 0 Exit 1 SeekGate V1>
	.nu2 <if= T2 0 Exit V1 SeekGate 1>

	NU1 <if= T1 0 if= P2 1 P= 2 2 LoseRenown S= 101 1 N= 3 E5 S= 105 -1          AdvancePlot 2>
	NU2 <if= T2 0 if= P2 1 P= 2 3 Reputation 6 1  XPV 100 S= 101 1 S+ 102 1 N= 3 E5  if= V4 1 else GoJustWin MoveChar E4 E3 N= 1 0 AdvancePlot 1>
	GoJustWin <AdvancePlot 1>

	Msg1 <\ELEMENT 2 @ \ELEMENT 1 :// Remember me from our school days? I have to speak with you- meet me soon.>
	Msg1_1 <\ELEMENT 2 @ \ELEMENT 1 :// I haven't seen you in ages! There's something important I have to discuss- meet me here as soon as possible.>

	Msg2 <As you approach \ELEMENT 3 , you see a group of mecha bearing the colors of \NARRATIVE 2 !>

sub
	Persona 2
	rumor <!2 has been waiting for you.>
	greeting <NewChat if= P3 1 else GoNoMission Say 1>
	GoNoMission <Say 2 XRBadThing NAV_XRBResolved AddChat 1 AddCHat 2 AddChat 3>
	result1 <NewChat  Say 3  Reputation 5  d8  AddChat 4 AddChat 5>
	result2 <NewChat  Say 4  Reputation 5 -d8  AddChat 4 AddChat 5>
	result3 <NewChat  Say 5  Reputation 4  d8  AddChat 4 AddChat 5>
	result4 <NewChat  Say 6  Reputation 4 -d8  P= 3 1  Memo 10 History 11  AddChat 6 AddChat 7>
	result5 <NewChat  Say 7                    P= 3 1  Memo 10 History 11  AddChat 6 AddChat 7>
	result6 <NewChat  Say 8>
	result7 <NewChat  Say 9>
	Msg1 <I really think you ought to go see what \ELEMENT 4 has been doing in \ELEMENT 3 . I know the two of you never got along very well, but I have a feeling this could be very important for us all!>
	Msg1_1 <Have you spoken with \ELEMENT 4 in \ELEMENT 3 yet? I have a feeling that something very bad is going on there... I know the two of you were never really friends, but could you at least do this for me?>
	CMsg1_1 <ifChatNPCSociable Accept>
	Msg1_2 <You haven't spoken with \ELEMENT 4 yet? Let me know when you do.>
	CMsg1_2 <ifChatNPCShy Accept>
	Msg1_3 <I think someone should go talk with \ELEMENT 4 in \ELEMENT 3 ... If you're free sometime, could you check up on \OPR E4 ?>
	CMsg1_3 <ifChatNPCEasygoing Accept>
	Msg1_4 <Why haven't you spoken to \ELEMENT 4 yet!? I asked you to do that a while ago...>
	CMsg1_4 <ifChatNPCPassionate Accept>
	Msg1_5 <I hope that \ELEMENT 4 is alright. I'd hate for something bad to happen to anyone I know, no matter what...>
	CMsg1_5 <ifChatNPCCheerful Accept>
	Msg1_6 <\ELEMENT 4 has started down a path of self destruction... I fear \SPR E4 may be beyond any help.>
	CMsg1_6 <ifChatNPCMelancholy Accept>

	Msg2 <\PC ! I haevn't seen you in ages... not since graduation, I think. How have you been? I'm sorry that I didn't write to you all this time but it was a lot of work in the piloting academy, you know?>
	Msg2_1 <\PC ! It's been ages since we've spoken! I was really hoping you'd show up today. Did you get my email? How've you been? Sorry that I haven't kept in touch better, but it was a lot of work in the piloting academy.>
	CMsg2_1 <ifChatNPCSociable Accept>
	Msg2_2 <\PC , I was hoping you'd come here. Did you get my email? I know, I should have kept in touch better, but you know how it is...>
	CMsg2_2 <ifChatNPCShy Accept>
	Msg2_3 <\PC ! It's really been ages, hasn't it? I don't think we've been together like this since graduation. How have you been? We really should have kept in touch... that's probably my fault for not writing.>
